,content,time,author
319,*rob <@!751368229158649886> 100,2021-06-11 13:53:57.737,Nanachi Yevhenii
320,lol🤣  here our hero is bankrupt to rob,2021-06-11 13:53:47.050,techyChung
321,*leaderbord credits,2021-06-11 13:53:46.873,Nanachi Yevhenii
322,🎉 | Congratulations! The police weren't fast enough to stop you from robbing **100** credits to **techyChung**!,2021-06-11 13:53:33.404,Atlanta
323,*rob <@!751368229158649886> 100,2021-06-11 13:53:30.125,Nanachi Yevhenii
324,😂,2021-06-11 13:53:24.022,techyChung
325,rob <@!751368229158649886> 100,2021-06-11 13:53:22.944,Nanachi Yevhenii
326,<:atlanta_error:736144198318686278> | You must have more than **300** credits to attempt this robbery (you have **173** credits for now)!,2021-06-11 13:53:13.480,Atlanta
327,*rob <@!751368229158649886> 200,2021-06-11 13:53:08.793,Nanachi Yevhenii
328,<:atlanta_error:736144198318686278> | Please enter a valid amount!,2021-06-11 13:52:57.260,Atlanta
329,*rob <@!751368229158649886>,2021-06-11 13:52:57.075,Nanachi Yevhenii
330,<:atlanta_success:736144092123234354> | You just gave a reputation point to techyChung!,2021-06-11 13:52:46.006,Atlanta
331,*rep <@!751368229158649886>,2021-06-11 13:52:45.776,Nanachi Yevhenii
332,<:atlanta_error:736144198318686278> | You have to wait 6 hours before working again!,2021-06-11 13:52:42.952,Atlanta
333,*work,2021-06-11 13:52:42.733,techyChung
334,,2021-06-11 13:52:36.742,Atlanta
335,,2021-06-11 13:52:36.488,Atlanta
336,*work,2021-06-11 13:52:36.191,techyChung
337,<:atlanta_error:736144198318686278> | You have to wait 6 hours before working again!,2021-06-11 13:52:25.386,Atlanta
338,*work,2021-06-11 13:52:25.288,Nanachi Yevhenii
339,but you have to work to have money honey,2021-06-11 13:52:04.607,Nanachi Yevhenii
340,I gave you 27 credits,2021-06-11 13:51:55.081,Nanachi Yevhenii
341,,2021-06-11 13:51:41.437,Atlanta
342,*profile <@!751368229158649886>,2021-06-11 13:51:40.749,Nanachi Yevhenii
343,why the hell I'm bankrupt and with 0 credits🤣,2021-06-11 13:51:31.550,techyChung
344,,2021-06-11 13:50:43.172,Atlanta
345,*profile <@!588858125126336544>,2021-06-11 13:50:42.426,Nanachi Yevhenii
346,"```
.--------------------------------.
|          LEADERBOARD           |
|--------------------------------|
| # |       User       | Credits |
|---|------------------|---------|
| 0 | Nanachi Yevhenii |     173 |
| 1 | techyChung       |       0 |
'--------------------------------'```",2021-06-11 13:50:15.730,Atlanta
347,*leaderboard credits,2021-06-11 13:50:15.515,Nanachi Yevhenii
348,u are crazy,2021-06-11 13:50:03.420,techyChung
349,😂,2021-06-11 13:50:01.009,techyChung
350,lol,2021-06-11 13:49:58.090,techyChung
351,hahaha,2021-06-11 13:49:57.085,techyChung
352,"too late, you have lost your chance",2021-06-11 13:49:52.003,Nanachi Yevhenii
353,<:atlanta_success:736144092123234354> | You just paid **27** to **techyChung#3840**!,2021-06-11 13:49:34.021,Atlanta
354,yes,2021-06-11 13:49:32.216,techyChung
355,*pay <@!751368229158649886>  27,2021-06-11 13:49:29.662,Nanachi Yevhenii
356,<:atlanta_error:736144198318686278> | <@751368229158649886> did not answer... Wait until he/she is logged in and try again!,2021-06-11 13:49:23.193,Atlanta
357,**Nanachi Yevhenii** used 1 credit(s) and lost everything.,2021-06-11 13:48:59.573,Atlanta
358,"[  :slot_machine: l SLOTS ]
------------------
🍐 : 🍓 : 🍇
🍉 : 🍉 : 🍎 **<**
🍎 : 🍇 : 🍌",2021-06-11 13:48:54.779,Atlanta
359,*slots,2021-06-11 13:48:54.583,Nanachi Yevhenii
360,**Nanachi Yevhenii** used 1 credit(s) and won 2 credit(s)!,2021-06-11 13:48:47.640,Atlanta
361,"[  :slot_machine: | **SLOTS** ]
------------------
🍇 : 🍐 : 🍇
🍎 : 🍎 : 🍒 **<**
🍐 : 🍓 : 🍌
------------------
| : : :  **VICTORY**  : : : |",2021-06-11 13:48:43.353,Atlanta
362,*slots,2021-06-11 13:48:43.120,Nanachi Yevhenii
363,<:atlanta_error:736144198318686278> | You have to wait 6 hours before working again!,2021-06-11 13:48:34.155,Atlanta
364,*work,2021-06-11 13:48:32.256,Nanachi Yevhenii
365,,2021-06-11 13:48:19.804,Atlanta
366,*work,2021-06-11 13:48:19.570,Nanachi Yevhenii
367,Perhaps we can use it for mentoring or somthing,2021-06-11 13:47:42.903,Nanachi Yevhenii
368,I wanna see what will happen,2021-06-11 13:47:33.035,Nanachi Yevhenii
369,"<@751368229158649886>, do you agree to marry <@588858125126336544>? Answer with ""yes"" or ""no""!",2021-06-11 13:47:23.185,Atlanta
370,*marry <@!751368229158649886>,2021-06-11 13:47:22.903,Nanachi Yevhenii
371,It's for the purpose of science,2021-06-11 13:47:16.558,Nanachi Yevhenii
372,I'm experimenting!,2021-06-11 13:47:11.324,Nanachi Yevhenii
373,😂,2021-06-11 13:46:55.471,techyChung
374,what are you doing Cutie Yev,2021-06-11 13:46:50.273,techyChung
375,<:atlanta_error:736144198318686278> | You need at least **1** credit(s).,2021-06-11 13:46:48.103,Atlanta
376,*slots,2021-06-11 13:46:47.854,Nanachi Yevhenii
377,😂,2021-06-11 13:46:41.553,techyChung
378,really?😂,2021-06-11 13:46:19.357,techyChung
379,<:atlanta_error:736144198318686278> | <@751368229158649886> did not answer... Wait until he/she is logged in and try again!,2021-06-11 13:46:18.909,Atlanta
380,"<:atlanta_error:736144198318686278> | Please specify the leaderboard type between `credits`, `level` and `rep`",2021-06-11 13:45:53.853,Atlanta
381,*leaderboard,2021-06-11 13:45:52.451,Nanachi Yevhenii
382,🤣,2021-06-11 13:44:52.513,Nanachi Yevhenii
383,ahahaha,2021-06-11 13:44:23.682,Nanachi Yevhenii
384,"<@751368229158649886>, do you agree to marry <@588858125126336544>? Answer with ""yes"" or ""no""!",2021-06-11 13:44:19.079,Atlanta
385,*marry <@!751368229158649886>,2021-06-11 13:44:18.794,Nanachi Yevhenii
386,,2021-06-11 13:43:49.568,Nanachi Yevhenii
387,This bot is so evercomplicated,2021-06-11 13:43:48.058,Nanachi Yevhenii
388,😂,2021-06-11 13:43:31.106,techyChung
389,<:atlanta_error:736144198318686278> | You can't afford **100**,2021-06-11 13:42:53.482,Atlanta
390,*pay <@!751368229158649886>  100,2021-06-11 13:42:48.324,Nanachi Yevhenii
391,,2021-06-11 13:42:01.801,techyChung
392,<:atlanta_error:736144198318686278> | You can't pay yourself!,2021-06-11 13:41:14.047,Atlanta
393,*pay <@!588858125126336544> 100,2021-06-11 13:41:13.742,Nanachi Yevhenii
394,<:atlanta_error:736144198318686278> | You must mention a valid member!,2021-06-11 13:41:00.336,Atlanta
395,*pay 100,2021-06-11 13:41:00.080,Nanachi Yevhenii
396,<:atlanta_error:736144198318686278> | You must wait **3** second(s) to be able to run this command again!,2021-06-11 13:40:54.411,Atlanta
397,*pay 100,2021-06-11 13:40:54.119,Nanachi Yevhenii
398,<:atlanta_error:736144198318686278> | You must mention a valid member!,2021-06-11 13:40:47.197,Atlanta
399,*pay,2021-06-11 13:40:46.969,Nanachi Yevhenii
400,<:atlanta_error:736144198318686278> | You have no credit to deposit in the bank!,2021-06-11 13:40:18.748,Atlanta
401,*deposit,2021-06-11 13:40:15.508,Nanachi Yevhenii
402,<:atlanta_error:736144198318686278> | You must be connected to a voice channel!,2021-06-11 13:39:02.150,Atlanta
403,*play димоон,2021-06-11 13:39:01.896,Nanachi Yevhenii
404,<:atlanta_error:736144198318686278> | You must be connected to a voice channel!,2021-06-11 13:38:44.676,Atlanta
405,*play димоон,2021-06-11 13:38:44.499,Nanachi Yevhenii
406,<:atlanta_error:736144198318686278> | You must be connected to a voice channel!,2021-06-11 13:38:36.530,Atlanta
407,*play димоон,2021-06-11 13:38:36.329,Nanachi Yevhenii
408,<:atlanta_error:736144198318686278> | Please specify a song name or a link!,2021-06-11 13:38:05.445,Atlanta
409,*play,2021-06-11 13:38:05.165,Nanachi Yevhenii
410,,2021-06-11 13:37:43.647,Atlanta
411,*money,2021-06-11 13:37:43.269,Nanachi Yevhenii
412,,2021-06-11 13:35:25.906,Atlanta
