,content,time,author
62,*phcomment <@!751368229158649886> I'm 17,2021-06-11 14:28:41.130,Nanachi Yevhenii
63,,2021-06-11 14:28:17.954,Atlanta
64,im happy,2021-06-11 14:28:16.829,techyChung
65,*mission <@!588858125126336544>,2021-06-11 14:28:15.714,Nanachi Yevhenii
66,no atlanta,2021-06-11 14:28:14.166,techyChung
67,hahaha,2021-06-11 14:28:05.948,techyChung
68,😟,2021-06-11 14:27:59.300,techyChung
69,,2021-06-11 14:27:55.871,Atlanta
70,*love <@&852903857352343563>  <@!588858125126336544>,2021-06-11 14:27:41.830,Nanachi Yevhenii
71,love <@!557445719892688897>  <@!588858125126336544>,2021-06-11 14:27:30.804,Nanachi Yevhenii
72,lol,2021-06-11 14:27:07.785,techyChung
73,i swear i atlanta will come,2021-06-11 14:27:01.883,techyChung
74,,2021-06-11 14:26:50.691,Atlanta
75,*love <@!588858125126336544> <@!751368229158649886>,2021-06-11 14:26:46.550,Nanachi Yevhenii
76,*kiss someone,2021-06-11 14:26:35.394,Nanachi Yevhenii
77,*kiss,2021-06-11 14:26:17.996,Nanachi Yevhenii
78,😳,2021-06-11 14:26:16.765,techyChung
79,,2021-06-11 14:26:09.557,Atlanta
80,*jail <@!751368229158649886>,2021-06-11 14:26:07.128,Nanachi Yevhenii
81,😳,2021-06-11 14:25:58.782,techyChung
82,,2021-06-11 14:25:48.898,Atlanta
83,*fire <@!751368229158649886>,2021-06-11 14:25:43.236,Nanachi Yevhenii
84,,2021-06-11 14:25:29.033,Atlanta
85,*facepalm <@!588858125126336544>,2021-06-11 14:25:27.875,Nanachi Yevhenii
86,,2021-06-11 14:25:16.290,Atlanta
87,*dictator <@!588858125126336544>,2021-06-11 14:25:15.059,Nanachi Yevhenii
88,😂,2021-06-11 14:25:12.242,techyChung
89,,2021-06-11 14:24:56.368,Atlanta
90,*dictator <@!751368229158649886>,2021-06-11 14:24:54.850,Nanachi Yevhenii
91,,2021-06-11 14:24:40.551,Atlanta
92,*clyde this is war,2021-06-11 14:24:39.735,Nanachi Yevhenii
93,hahaha,2021-06-11 14:24:36.002,techyChung
94,oh really! this is war,2021-06-11 14:24:26.008,Nanachi Yevhenii
95,,2021-06-11 14:24:07.856,Atlanta
96,*challenger <@!751368229158649886>,2021-06-11 14:24:05.660,Nanachi Yevhenii
97,,2021-06-11 14:23:50.880,Atlanta
98,*captcha <@!751368229158649886>,2021-06-11 14:23:48.014,Nanachi Yevhenii
99,,2021-06-11 14:23:37.814,Atlanta
100,*burn <@!751368229158649886>,2021-06-11 14:23:36.676,Nanachi Yevhenii
101,,2021-06-11 14:23:16.269,Atlanta
102,*brazzers <@!751368229158649886>,2021-06-11 14:23:14.206,Nanachi Yevhenii
103,that is better,2021-06-11 14:22:57.158,Nanachi Yevhenii
104,,2021-06-11 14:22:50.609,Atlanta
105,*bed <@!588858125126336544> <@!751368229158649886>,2021-06-11 14:22:49.356,Nanachi Yevhenii
106,lol,2021-06-11 14:22:47.020,techyChung
107,hey,2021-06-11 14:22:40.553,Nanachi Yevhenii
108,,2021-06-11 14:22:25.581,Atlanta
109,*bed <@!751368229158649886> <@!588858125126336544>,2021-06-11 14:22:23.877,Nanachi Yevhenii
110,😂,2021-06-11 14:22:12.937,techyChung
111,,2021-06-11 14:22:07.724,Atlanta
112,*beautiful <@!751368229158649886>,2021-06-11 14:22:06.488,Nanachi Yevhenii
113,,2021-06-11 14:21:58.830,Atlanta
114,*beautiful <@!588858125126336544>,2021-06-11 14:21:57.716,Nanachi Yevhenii
115,it is!!!! i know right,2021-06-11 14:21:54.081,techyChung
116,😂,2021-06-11 14:21:42.903,techyChung
117,omg so cute,2021-06-11 14:21:40.334,Nanachi Yevhenii
118,,2021-06-11 14:21:30.597,Atlanta
119,*beautiful <@!751368229158649886>,2021-06-11 14:21:29.567,Nanachi Yevhenii
120,https://tenor.com/view/clap-applause-gif-7388124,2021-06-11 14:21:12.051,Nanachi Yevhenii
121,😂,2021-06-11 14:21:04.652,techyChung
122,,2021-06-11 14:20:55.299,Atlanta
123,*batslap <@!588858125126336544> <@!751368229158649886>,2021-06-11 14:20:53.580,Nanachi Yevhenii
124,,2021-06-11 14:20:35.488,Atlanta
125,*approved <@!751368229158649886>,2021-06-11 14:20:33.994,Nanachi Yevhenii
126,i love atlanta😂,2021-06-11 14:20:23.232,techyChung
127,"i don't know about yev, but i will surely marry this bot😂",2021-06-11 14:19:55.559,techyChung
128,<:atlanta_success:736144092123234354> | SUCCESS,2021-06-11 14:19:38.554,Atlanta
129,*divorce,2021-06-11 14:19:37.361,Nanachi Yevhenii
130,this bot! is insane!!!!,2021-06-11 14:19:34.108,techyChung
131,🤣,2021-06-11 14:19:24.285,techyChung
132,<@751368229158649886> :heart: <@588858125126336544>,2021-06-11 14:19:17.417,Atlanta
133,<:atlanta_success:736144092123234354> | 🎉 Congratulations! **<@588858125126336544>** and **<@751368229158649886>** you are now married!,2021-06-11 14:19:17.149,Atlanta
134,yes,2021-06-11 14:19:16.903,techyChung
135,"<@751368229158649886>, do you agree to marry <@588858125126336544>? Answer with ""yes"" or ""no""!",2021-06-11 14:19:05.024,Atlanta
136,*marry <@!751368229158649886>,2021-06-11 14:19:04.888,Nanachi Yevhenii
137,```yes```,2021-06-11 14:18:55.683,Atlanta
138,<:atlanta_success:736144092123234354> | Here's my choice:,2021-06-11 14:18:53.975,Atlanta
139,*choice yes/no,2021-06-11 14:18:53.797,Nanachi Yevhenii
140,"<:atlanta_error:736144198318686278> | You must enter more than two choices!
(or use the `flip` command instead)",2021-06-11 14:18:43.699,Atlanta
141,oh bot don't react! smart bot,2021-06-11 14:18:41.100,techyChung
142,*choice yes no maybe,2021-06-11 14:18:39.985,Nanachi Yevhenii
143,🎲 | Heads!,2021-06-11 14:18:32.511,Atlanta
144,*flip,2021-06-11 14:18:32.333,Nanachi Yevhenii
145,<:atlanta_error:736144198318686278> | <@588858125126336544> did not answer... Wait until he/she is logged in and try again!,2021-06-11 14:18:28.966,Atlanta
146,"<:atlanta_error:736144198318686278> | You must enter more than two choices!
(or use the `flip` command instead)",2021-06-11 14:18:20.308,Atlanta
147,"<:atlanta_error:736144198318686278> | You must send ""yes"" or ""no""!",2021-06-11 14:18:20.100,Atlanta
148,*choice yes no,2021-06-11 14:18:17.496,Nanachi Yevhenii
149,no,2021-06-11 14:18:06.571,techyChung
